landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
6,Built area,38.5454057,30.47647297,1.773856863,0.0001233,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.4], [77.3175, 28.4], [77.3175, 28.40625], [77.31, 28.40625], [77.31, 28.4]]]}"
6,Built area,31.85555789,30.32828688,1.625670766,0.000122631,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31750000000001, 28.4], [77.325, 28.4], [77.325, 28.40625], [77.31750000000001, 28.40625], [77.31750000000001, 28.4]]]}"
6,Built area,26.92731755,29.79795222,1.095336112,0.000123272,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.325, 28.4], [77.3325, 28.4], [77.3325, 28.40625], [77.325, 28.40625], [77.325, 28.4]]]}"
6,Built area,22.96236506,29.43933846,0.736722346,0.000123461,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.33250000000001, 28.4], [77.34, 28.4], [77.34, 28.40625], [77.33250000000001, 28.40625], [77.33250000000001, 28.4]]]}"
6,Built area,24.29955902,29.40301871,0.700402604,0.000123417,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.4], [77.3475, 28.4], [77.3475, 28.40625], [77.34, 28.40625], [77.34, 28.4]]]}"
6,Built area,28.38666146,29.65261983,0.950003719,0.000123494,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34750000000001, 28.4], [77.355, 28.4], [77.355, 28.40625], [77.34750000000001, 28.40625], [77.34750000000001, 28.4]]]}"
6,Built area,31.37868212,29.827584,1.124967893,0.000123955,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.355, 28.4], [77.3625, 28.4], [77.3625, 28.40625], [77.355, 28.40625], [77.355, 28.4]]]}"
6,Built area,22.55814052,29.52443602,0.821819908,0.000123138,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.36250000000001, 28.4], [77.37, 28.4], [77.37, 28.40625], [77.36250000000001, 28.40625], [77.36250000000001, 28.4]]]}"
6,Built area,14.69450841,29.26564865,0.563032539,0.000121744,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.4], [77.3775, 28.4], [77.3775, 28.40625], [77.37, 28.40625], [77.37, 28.4]]]}"
4,Crops,10.28492391,29.12503425,,0.000120498,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37750000000001, 28.4], [77.385, 28.4], [77.385, 28.40625], [77.37750000000001, 28.40625], [77.37750000000001, 28.4]]]}"
4,Crops,6.504161043,29.10577397,,0.000119532,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.385, 28.4], [77.3925, 28.4], [77.3925, 28.40625], [77.385, 28.40625], [77.385, 28.4]]]}"
4,Crops,5.104796282,29.15881955,,0.000118944,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.39250000000001, 28.4], [77.4, 28.4], [77.4, 28.40625], [77.39250000000001, 28.40625], [77.39250000000001, 28.4]]]}"
