landcover_class,geometry,landcover_name
5.999999999999966,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.474999999999998], [77.07000000000001, 28.474999999999998], [77.07000000000001, 28.499999999999996], [77.04, 28.499999999999996], [77.04, 28.474999999999998]]]}",
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.474999999999998], [77.10000000000001, 28.474999999999998], [77.10000000000001, 28.499999999999996], [77.07000000000001, 28.499999999999996], [77.07000000000001, 28.474999999999998]]]}",Built area
5.999999999999948,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.474999999999998], [77.13, 28.474999999999998], [77.13, 28.499999999999996], [77.1, 28.499999999999996], [77.1, 28.474999999999998]]]}",
5.999999999999918,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.474999999999998], [77.16, 28.474999999999998], [77.16, 28.499999999999996], [77.13, 28.499999999999996], [77.13, 28.474999999999998]]]}",
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.474999999999998], [77.19, 28.474999999999998], [77.19, 28.499999999999996], [77.16, 28.499999999999996], [77.16, 28.474999999999998]]]}",Built area
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.474999999999998], [77.22, 28.474999999999998], [77.22, 28.499999999999996], [77.19, 28.499999999999996], [77.19, 28.474999999999998]]]}",Trees
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.474999999999998], [77.25, 28.474999999999998], [77.25, 28.499999999999996], [77.22, 28.499999999999996], [77.22, 28.474999999999998]]]}",Trees
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.474999999999998], [77.28, 28.474999999999998], [77.28, 28.499999999999996], [77.25, 28.499999999999996], [77.25, 28.474999999999998]]]}",Trees
5.9999999999999805,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.474999999999998], [77.31, 28.474999999999998], [77.31, 28.499999999999996], [77.28, 28.499999999999996], [77.28, 28.474999999999998]]]}",
5.999999999999983,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.474999999999998], [77.34, 28.474999999999998], [77.34, 28.499999999999996], [77.31, 28.499999999999996], [77.31, 28.474999999999998]]]}",
